DEPT,CALI,SGR,CGR,THOR,URAN,POTA,ILD,ILM,SFLU,PEF,NPHI,RHOB
291.5,6.074,89.804,64.116,9.792,2.914,1.07,27.005,26.749,28.625,2.51,31.299,2.24
292,6.285,93.724,66.214,9.938,3.121,1.148,27.098,27.72,31.468,2.393,30.322,2.243
292.5,6.434,90.367,63.55,9.527,3.042,1.105,27.601,28.61,32.312,2.295,29.59,2.284
293,6.492,93.837,65.929,9.745,3.166,1.18,28.723,29.558,35.981,2.143,27.441,2.314
293.5,5.957,95.332,66.945,9.899,3.22,1.197,30.173,31.015,36.862,2.033,28.564,2.309
294,5.746,92.44,64.724,9.784,3.144,1.105,31.359,32.722,44.488,1.953,28.76,2.283
294.5,5.684,90.379,63.36,9.647,3.065,1.065,32.207,34.294,47.283,1.954,29.932,2.272
295,5.613,90.742,63.972,9.706,3.036,1.083,32.122,34.966,47.657,1.952,29.639,2.295
295.5,5.48,94.677,66.163,10.018,3.234,1.126,30.423,34.627,48.037,1.876,27.93,2.32
296,5.414,95.401,67.101,10.382,3.21,1.087,27.893,31.94,60.006,1.919,27.246,2.314
296.5,5.422,99.013,69.721,10.857,3.323,1.112,26.162,26.616,75.889,2.186,29.688,2.326
297,5.469,101.431,72.471,11.242,3.285,1.166,25.502,22.617,41.427,2.654,34.619,2.362
297.5,5.77,99.681,71.408,11.362,3.207,1.079,24.934,21.787,17.955,3.115,41.504,2.421
298,6.324,100.185,72.527,11.777,3.137,1.037,24.126,23.359,10.98,3.135,43.066,2.414
298.5,7.266,103.607,75.336,12.282,3.207,1.066,22.763,23.565,22.19,2.58,43.604,2.204
299,9.148,101.783,74.298,12.334,3.118,0.996,21.153,22.475,33.573,2.166,39.6,1.902
299.5,9.469,94.909,70.193,12.119,2.804,0.826,20.49,21.352,33.761,1.725,40.967,1.741
300,7.309,96.664,72.262,12.549,2.768,0.832,20.614,20.73,26.959,1.639,42.92,1.707
300.5,6.039,97.811,72.677,12.7,2.851,0.818,20.643,20.258,23.039,1.749,44.531,1.79
301,5.812,102.088,76.389,13.329,2.915,0.864,20.229,19.589,21.101,2.174,41.65,1.917
301.5,5.84,105.154,79.932,13.912,2.861,0.913,19.722,19.03,21.71,2.668,40.869,2.035
302,5.867,104.505,79.446,13.839,2.842,0.905,19.034,18.312,20.047,2.967,39.551,2.123
302.5,5.93,111.937,87.071,14.652,2.821,1.119,18.599,17.912,18.679,3.016,40.234,2.16
303,6.027,111.263,86.756,14.532,2.78,1.131,18.641,17.645,18.172,3.096,39.404,2.175
303.5,6.172,107.757,85.839,14.37,2.486,1.121,18.802,17.852,18.507,3.221,39.063,2.205
304,6.297,100.108,81.641,13.679,2.095,1.063,19.232,18.502,19.033,3.291,35.986,2.237
304.5,6.301,100.226,82.729,13.769,1.985,1.101,19.644,19.446,19.849,3.031,35.693,2.257
305,6.289,100.166,83.039,13.698,1.943,1.135,19.676,20.143,22.692,2.832,33.008,2.259
305.5,6.262,98.346,82.582,13.601,1.788,1.134,19.499,20.22,26.14,2.607,32.08,2.244
306,6.18,95.801,81.316,13.508,1.643,1.088,19.109,19.411,26.839,2.434,31.592,2.223
306.5,6.172,94.582,80.795,13.529,1.564,1.054,18.677,18.125,23.488,2.361,32.08,2.165
307,6.207,110.575,94.908,16.81,1.777,1.012,18.477,17.19,18.973,2.4,34.521,2.079
307.5,6.324,101.775,88.32,16.079,1.526,0.834,18.324,16.731,16.214,2.408,36.377,2.032
308,6.473,123.725,89.467,16.205,3.886,0.866,18.16,16.627,15.002,2.287,39.795,1.995
308.5,6.602,123.419,88.944,16.214,3.91,0.835,17.93,16.891,15.269,2.225,43.555,1.959
309,6.605,100.991,63.15,10.842,4.292,0.758,17.667,17.33,17.235,2.348,43.945,1.925
309.5,6.551,97.977,61.181,10.605,4.174,0.71,17.56,17.674,20.596,2.49,42.139,1.96
310,6.41,89.225,54.461,9.909,3.943,0.516,17.685,17.674,23.127,2.426,38.77,1.995
310.5,5.914,89.985,54.781,9.984,3.993,0.515,17.923,17.704,22.355,2.42,36.963,2.02
311,5.781,102.601,63.828,10.672,4.398,0.837,18.212,17.733,20.667,2.516,36.182,2.035
311.5,5.906,101.069,63.009,10.537,4.317,0.826,18.368,17.616,19.464,2.578,36.182,2.073
312,5.906,104.236,65.281,10.71,4.419,0.907,18.089,17.358,18.227,2.494,37.012,2.131
312.5,5.906,106.179,66.645,10.773,4.484,0.965,17.579,17.274,18.338,2.551,38.281,2.174
313,5.91,104.446,65.424,10.552,4.426,0.953,16.931,16.998,18.914,2.742,36.23,2.174
313.5,6.023,101.036,63.556,10.334,4.251,0.906,16.5,16.422,19.719,2.666,34.619,2.184
314,6.141,107.637,68.196,10.986,4.474,0.997,16.252,15.72,19.154,2.521,33.008,2.185
314.5,6.457,104.743,66.327,10.874,4.358,0.923,16.331,15.424,17.955,2.453,34.082,2.183
315,6.855,114.855,72.938,11.626,4.755,1.097,16.577,15.582,15.956,2.637,36.963,2.183
315.5,6.965,111.535,70.428,11.408,4.663,1.014,16.817,16.124,14.891,2.766,39.551,2.196
316,6.977,115.666,73.314,11.821,4.804,1.069,16.992,16.998,16.258,3.006,39.209,2.215
316.5,6.973,113.77,72.013,11.766,4.737,1.012,17.108,17.674,18.914,3.137,38.135,2.23
317,6.992,119.027,75.387,12.09,4.95,1.116,17.57,17.733,24.948,3.031,36.816,2.245
317.5,7.121,105.528,66.198,10.69,4.461,0.962,18.636,17.733,22.272,2.748,36.768,2.262
318,7.156,103.009,64.401,10.438,4.379,0.926,20.153,18.996,19.216,2.633,36.865,2.253
318.5,7.223,85.573,62.325,9.951,2.637,0.933,21.247,21.567,18.679,2.801,32.666,2.262
319,7.328,77.194,56.571,9.382,2.339,0.761,21.589,23.41,25.369,2.367,30.469,2.294
319.5,7.863,78.411,57.462,9.415,2.376,0.801,21.252,23.462,40.049,1.972,30.811,2.16
320,8.328,81.803,59.91,9.632,2.483,0.881,20.716,22.811,41.144,1.775,34.814,1.843
320.5,8.461,84.445,61.865,9.774,2.561,0.952,20.446,21.611,33.952,1.761,37.402,1.709
321,8.523,94.08,68.15,10.417,2.941,1.135,19.925,19.807,24.743,2.045,36.914,1.722
321.5,8.641,102.643,73.653,11.231,3.288,1.233,18.94,18.343,18.973,2.293,36.035,1.896
322,8.633,104.38,74.993,11.469,3.333,1.248,17.661,17.33,16.617,2.312,35.303,2.039
322.5,8.547,109.17,77.694,11.931,3.57,1.28,16.56,16.372,15.666,2.273,35.645,2.097
323,8.25,104.908,74.597,11.682,3.438,1.173,15.383,15.446,15.585,2.125,35.498,2.11
323.5,7.797,98.062,70.453,11.431,3.132,1.01,14.508,14.599,15.956,2.164,38.672,2.098
324,7.566,100.569,72.419,11.744,3.193,1.04,14.204,13.733,15.956,2.258,38.428,2.092
324.5,7.496,117.432,89.577,14.629,3.16,1.261,13.856,13.371,14.497,2.508,41.211,2.101
325,7.492,119.602,90.754,14.865,3.272,1.267,13.664,13.188,13.34,2.559,40.43,2.124
325.5,7.43,118.203,89.803,14.786,3.221,1.234,13.558,13.075,13.705,2.631,41.846,2.137
326,7.074,106.718,82.28,14.397,2.772,0.921,13.463,12.948,13.43,2.652,43.945,2.137
326.5,6.949,104.069,80.599,14.396,2.662,0.83,13.453,12.995,14.393,2.662,45.117,2.139
327,6.855,100.558,78.163,14.266,2.54,0.729,13.595,13.156,14.189,2.465,44.092,2.123
327.5,6.531,102.763,79.796,14.602,2.605,0.735,13.961,13.472,14.965,2.238,40.381,2.108
328,6.199,104.613,81.283,14.826,2.646,0.761,14.381,14.004,14.393,2.156,38.818,2.108
328.5,5.742,105.533,82.047,14.992,2.664,0.762,14.956,14.68,15.872,2.16,38.525,2.144
329,5.566,91.577,67.653,12.677,2.714,0.55,15.835,15.161,16.084,2.217,38.867,2.193
329.5,5.539,93.429,68.707,12.789,2.804,0.58,16.735,16.173,17.285,2.229,39.16,2.262
330,5.535,95.481,70.272,13.018,2.86,0.608,17.693,17.472,17.537,2.277,38.965,2.317
330.5,5.535,94.417,69.393,12.956,2.839,0.576,18.575,18.566,19.784,2.377,38.477,2.36
331,5.488,95.096,69.581,12.932,2.894,0.592,19.004,19.844,23.306,2.412,35.01,2.398
331.5,5.437,96.51,70.626,12.992,2.936,0.634,19.194,20.181,26.485,2.455,32.91,2.388
332,5.437,96.446,70.472,12.959,2.946,0.634,19.131,19.734,28.49,2.408,31.299,2.346
332.5,5.434,98.069,71.069,12.996,3.063,0.657,19.168,18.795,24.148,2.32,31.982,2.302
333,5.516,99.024,71.599,13.128,3.111,0.653,19.138,18.249,20.25,2.305,35.156,2.265
333.5,5.5,104.355,75.348,13.64,3.29,0.731,19.226,18.125,16.992,2.439,35.4,2.267
334,5.465,119.093,81.036,13.676,4.317,1.031,19.066,18.502,17.335,2.676,36.865,2.309
334.5,5.516,116.099,78.991,13.42,4.209,0.983,18.919,18.895,18.227,2.68,36.084,2.35
335,5.598,110.553,74.941,12.95,4.039,0.879,18.877,19.34,20.387,2.451,36.279,2.353
335.5,5.645,102.866,69.874,12.358,3.742,0.75,19.17,19.734,23.397,2.293,36.328,2.372
336,5.652,104.236,70.867,12.489,3.785,0.771,19.667,19.955,27.08,2.145,32.813,2.374
336.5,5.625,102.764,69.411,12.39,3.783,0.716,20.308,20.22,26.369,2.105,32.422,2.367
337,5.492,110.794,74.284,13.142,4.141,0.796,21.026,21.016,25.369,2.127,31.006,2.35
337.5,5.473,114.25,76.326,13.447,4.302,0.832,21.48,21.699,24.642,2.271,31.152,2.33
338,5.473,114.891,76.25,13.419,4.383,0.834,22.134,22.287,24.642,2.449,31.543,2.314
338.5,5.492,113.316,74.696,13.24,4.381,0.794,23.194,22.57,22.522,2.379,32.373,2.321
339,5.523,119.37,78.144,13.554,4.676,0.904,24.976,23.775,21.554,2.311,33.398,2.332
339.5,5.539,149.076,96.483,16.489,5.966,1.177,27.992,27.436,21.401,2.504,32.861,2.353
340,5.496,148.453,95.875,16.401,5.964,1.166,30.944,33.753,22.606,3.02,32.568,2.399
340.5,5.437,119.286,66.952,10.15,5.936,1.136,34.155,42.449,61.855,3.809,31.543,2.493
341,5.437,66.743,51.698,7.998,1.707,0.837,37.061,46.909,205.215,3.391,25.977,2.562
341.5,5.441,54.756,45.831,7.726,1.012,0.585,40.888,51.409,392.504,3.129,19.873,2.575
342,5.437,51.668,44.113,7.583,0.857,0.527,45.21,53.998,237.609,2.631,16.26,2.502
342.5,5.437,50.451,43.538,7.54,0.784,0.507,47.337,53.727,124.555,2.398,19.385,2.386
343,5.437,49.37,42.919,7.416,0.732,0.504,46.218,47.959,83.232,2.256,24.268,2.28
343.5,5.492,56.729,47.892,7.714,1.002,0.701,42.693,44.383,63.822,2.348,27.002,2.25
344,5.512,68.224,47.118,7.567,2.394,0.695,39.378,40.676,40.589,2.365,26.66,2.25
344.5,5.75,70.864,48.765,7.765,2.507,0.735,35.983,37.939,39.011,2.297,27.295,2.214
345,5.918,72.415,49.554,7.902,2.593,0.745,32.76,35.546,37.787,2.342,29.736,2.151
345.5,5.852,80.345,54.839,8.496,2.893,0.885,30.902,33.229,44.162,2.525,30.322,2.169
346,5.836,78.548,53.459,8.212,2.846,0.88,30.116,29.722,40.589,2.477,27.93,2.234
346.5,5.844,81.898,55.538,8.377,2.99,0.953,29.845,28.307,35.767,2.307,27.734,2.216
347,6.047,90.578,62.306,8.847,3.207,1.205,28.999,28.841,29.611,2.078,31.006,2.132
347.5,5.719,89.485,61.47,8.702,3.178,1.195,28.099,28.841,33.203,2.045,35.596,2.116
348,5.687,81.14,55.926,7.868,2.86,1.1,26.696,26.616,43.84,2.014,32.275,2.206
348.5,5.949,75.996,52.519,7.426,2.663,1.023,25.927,24.539,34.937,2.035,27.783,2.251
349,6.086,93.25,65.324,9.06,3.168,1.317,25.891,23.775,28.762,2.084,25.391,2.207
349.5,6.113,107.617,77.058,10.807,3.466,1.523,26.026,23.617,23.673,2.139,27.002,2.156
350,6.164,115.524,82.283,11.433,3.771,1.653,26.222,24.151,24.245,2.051,29.932,2.081
350.5,6.328,114.974,82.06,11.317,3.733,1.67,26.534,25.057,24.442,2.035,31.592,2.008
351,6.426,114.501,81.867,11.235,3.702,1.679,26.568,26.55,24.845,1.966,32.861,2.002
351.5,5.73,114.062,81.98,11.224,3.639,1.688,26.398,28.084,29.611,2.031,35.547,2.053
352,5.023,86.725,64.256,7.966,2.549,1.529,26.326,27.864,50.033,1.949,35.498,2.173
352.5,4.934,74.232,54.406,6.721,2.249,1.3,26.496,26.419,53.123,2.012,33.545,2.232
353,4.898,82.841,59.743,7.217,2.62,1.468,27.163,25.597,37.319,2.039,30.566,2.266
353.5,4.914,97.787,68.848,8.481,3.283,1.651,27.066,26.354,21.325,2.133,30.176,2.247
354,4.984,94.756,66.463,8.291,3.209,1.568,26.209,27.226,18.679,2.092,29.932,2.247
354.5,5.082,86.77,61.156,7.844,2.905,1.39,25.438,26.16,27.451,2.068,29.443,2.246
355,5.285,83.865,59.104,7.688,2.809,1.317,24.575,24.427,32.312,2.029,26.514,2.269
355.5,5.414,92.667,64.514,8.601,3.193,1.386,24.649,23.935,28.762,2.041,27.246,2.276
356,5.648,113.56,78.677,10.468,3.957,1.695,25.105,24.483,23.306,2.043,27.637,2.257
356.5,5.613,115.121,79.596,10.533,4.03,1.729,25.191,26.033,24.743,2.057,31.934,2.238
357,5.512,107.065,73.232,9.721,3.838,1.583,24.702,27.226,29.905,1.993,34.229,2.176
357.5,5.152,89.744,58.141,8.072,3.585,1.17,24.095,27.506,40.589,1.935,36.035,2.118
358,4.961,70.6,44.786,5.845,2.928,0.993,23.329,26.097,54.568,1.886,34.18,2.121
358.5,5.012,61.344,38.52,5.014,2.589,0.857,22.965,23.67,45.155,1.953,31.592,2.133
359,5.125,69.592,43.344,5.542,2.977,0.989,22.996,22.241,30.205,2.145,28.418,2.135
359.5,5.41,89.324,56.536,6.753,3.719,1.408,22.303,22.195,19.339,2.26,30.664,2.15
360,5.77,102.924,67.39,8.648,4.031,1.531,20.824,22.287,21.947,2.342,34.424,2.166
360.5,5.844,102.621,67.356,8.628,4,1.534,18.786,20.57,28.49,2.406,35.547,2.159
361,5.504,90.137,58.363,6.79,3.604,1.498,17.694,17.912,33.021,2.594,33.398,2.193
361.5,5.605,87.758,56.733,6.613,3.519,1.453,17.242,15.837,17.137,2.469,31.592,2.242
362,5.914,87.442,56.089,6.585,3.556,1.425,17.167,15.837,11.938,2.305,34.033,2.256
362.5,6.352,104.093,68.683,11.044,4.017,1.009,17.193,16.679,12.18,2.088,37.793,2.237
363,6.133,100.315,66.404,10.83,3.846,0.938,16.94,17.053,15.002,2.115,37.988,2.233
363.5,5.652,91.701,60.942,10.253,3.489,0.784,16.405,17.246,24.541,2.107,39.893,2.242
364,5.352,83.137,55.715,9.365,3.11,0.719,16.124,16.705,28.223,2.133,37.256,2.216
364.5,5.254,70.578,51.617,7.836,2.151,0.873,16.043,16.198,25.262,2.172,37.012,2.209
365,5.391,77.72,58.181,8.488,2.216,1.069,15.69,15.931,18.507,2.125,35.791,2.179
365.5,5.508,75.384,57.047,8.371,2.08,1.036,15.324,15.357,16.571,2.199,37.695,2.143
366,5.586,73.445,55.958,8.191,1.984,1.022,14.905,14.344,16.346,2.197,40.332,2.117
366.5,5.883,78.636,59.453,8.55,2.176,1.123,14.287,13.593,15.077,2.309,39.746,2.128
367,6.105,95.594,70.411,9.911,2.857,1.383,13.811,13.091,12.72,2.322,38.184,2.171
367.5,6.211,91.91,68.107,9.635,2.7,1.326,13.372,12.655,12.884,2.412,36.621,2.222
368,6.25,97.034,71.78,10.102,2.865,1.41,13.126,12.332,13.079,2.49,36.084,2.268
368.5,6.309,101.626,74.988,10.508,3.021,1.485,12.85,12.303,13.46,2.445,35.889,2.286
369,6.445,105.063,77.365,10.821,3.142,1.537,12.815,12.433,13.959,2.365,37.256,2.309
369.5,6.426,101.547,75.226,10.606,2.986,1.473,12.812,12.55,15.192,2.23,35.742,2.317
370,6.469,97.542,72.686,10.33,2.819,1.403,12.84,12.595,15.002,2.404,35.547,2.318
370.5,6.613,96.506,72.049,10.215,2.774,1.397,12.89,12.55,15.585,2.402,33.154,2.331
371,6.668,95.881,71.212,10.201,2.798,1.355,13.025,12.462,14.427,2.385,35.596,2.33
371.5,6.539,109.944,80.022,11.764,3.394,1.448,13.075,12.477,13.165,2.146,35.547,2.312
372,6.172,105.821,76.97,11.428,3.273,1.365,13.007,12.58,12.72,2.102,37.744,2.272
372.5,5.734,102.217,74.844,11.251,3.105,1.293,12.732,12.64,13.643,2.186,36.963,2.242
373,5.332,107.062,78.824,11.766,3.203,1.383,12.316,12.332,14.324,2.625,38.623,2.248
373.5,5.227,105.342,77.594,11.63,3.147,1.349,12.018,11.681,15.153,2.592,39.258,2.297
374,5.223,109.16,80.225,11.925,3.282,1.42,11.715,11.272,13.079,2.48,41.699,2.347
374.5,5.246,112.714,82.9,12.261,3.382,1.482,11.212,11.095,11.938,2.459,41.455,2.315
375,5.32,103.413,76.819,11.703,3.017,1.289,10.933,10.576,12.483,2.482,38.867,2.286
375.5,5.465,93.109,70.079,11.234,2.612,1.038,10.625,9.969,12.205,2.477,36.719,2.262
376,5.406,98.121,72.957,11.562,2.854,1.114,10.484,9.767,11.332,2.271,38.184,2.209
376.5,5.324,112.414,86.185,14.327,2.975,1.151,10.831,9.813,9.374,2.441,40.723,2.215
377,5.441,108.714,83.768,13.952,2.83,1.112,11.659,10.219,8.734,2.646,43.262,2.26
377.5,5.363,106.281,82.619,13.738,2.684,1.102,12.642,11.643,7.514,2.896,42.822,2.323
378,4.945,106.541,82.867,13.643,2.685,1.139,13.849,14.48,8.324,3.215,40.479,2.333
378.5,4.785,104.41,81.416,13.367,2.608,1.128,15.529,17.674,24.442,3.654,36.768,2.386
379,4.672,85.479,67.785,10.523,2.007,1.089,17.425,20.068,61.855,3.527,34.814,2.458
379.5,4.719,82.489,65.922,10.237,1.879,1.058,20.377,22.103,96.583,3.162,33.447,2.42
380,4.777,78.246,62.902,9.696,1.741,1.028,25.996,25.354,52.202,2.965,31.836,2.313
380.5,4.77,77.63,62.753,9.351,1.687,1.105,31,30.572,29.039,2.854,30.664,2.271
381,4.687,80.371,64.669,9.277,1.781,1.227,34.648,34.852,32.662,2.551,31.592,2.257
381.5,4.684,77.237,63.01,8.88,1.614,1.235,35.902,36.893,40.589,2.256,33.594,2.218
382,4.602,75.499,62.127,8.706,1.517,1.23,36.286,37.672,41.427,1.971,36.279,2.156
382.5,4.613,71.206,59.309,8.426,1.349,1.146,37.905,40.218,43.84,1.854,37.207,2.104
383,4.656,68.54,57.484,8.195,1.254,1.104,38.904,42.96,54.568,1.793,36.963,2.092
383.5,4.66,56.801,46.989,6.607,1.113,0.925,40.362,44.568,77.851,1.786,34.473,2.109
384,4.668,46.653,37.837,5.046,1,0.812,43.953,47.323,98.158,1.775,33.691,2.12
384.5,4.695,32.378,24.939,3.812,0.844,0.415,47.752,50.441,103.205,1.958,32.764,2.127
385,4.773,35.706,26.745,3.928,1.016,0.485,49.531,52.159,95.058,2.174,32.91,2.161
385.5,4.766,32.612,24.308,3.691,0.942,0.411,49.437,51.163,92.149,2.35,33.008,2.192
386,4.777,32.646,23.944,3.556,0.987,0.425,49.661,51.409,96.583,2.094,32.959,2.189
386.5,4.793,32.248,23.145,3.388,1.033,0.422,49.086,50.441,106.869,1.992,32.617,2.153
387,4.809,33.108,23.402,3.289,1.101,0.461,47.283,49.739,108.8,1.876,32.275,2.122
387.5,4.789,37.975,26.525,3.335,1.299,0.62,45.348,48.174,103.205,1.866,31.201,2.098
388,4.691,41.32,28.387,3.608,1.467,0.653,42.924,43.307,103.205,1.908,30.713,2.088
388.5,4.633,43.084,29.471,3.766,1.544,0.673,40.181,37.672,73.124,2.092,29.346,2.077
389,4.621,69.575,49.961,6.105,2.225,1.21,38.164,33.437,36.637,2.348,31.543,2.113
389.5,4.633,103.189,75.02,9.355,3.195,1.771,36.096,31.378,22.606,2.521,34.521,2.136
390,4.617,106.811,77.286,9.618,3.349,1.829,34.706,30.226,23.039,2.484,37.842,2.144
390.5,4.605,110.255,79.824,9.79,3.452,1.925,32.303,29.315,28.762,2.48,38.232,2.143
391,4.617,108.195,78.532,9.594,3.365,1.903,30.058,28.61,30.054,2.459,36.914,2.175
391.5,4.625,110.614,80.24,9.759,3.445,1.955,31.503,29.722,26.027,2.424,37.939,2.203
392,4.52,110.469,80.049,9.711,3.451,1.957,32.718,33.024,19.401,2.328,41.455,2.191
392.5,4.477,85.671,72.58,8.909,1.485,1.749,32.112,34.184,31.304,2.244,42.236,2.127
393,4.484,69.642,55.38,6.968,1.618,1.292,31.775,33.229,54.078,2.541,38.184,2.146
393.5,4.543,66.976,53.091,6.766,1.575,1.217,33.846,32.722,46.552,2.666,33.252,2.215
394,4.59,59.265,46.648,6.079,1.431,1.037,37.608,34.852,31.633,2.5,31.738,2.263
394.5,4.672,58.358,45.834,5.998,1.421,1.012,39.31,37.149,38.026,2.057,33.887,2.232
395,4.719,53.588,42.36,5.632,1.274,0.914,39.378,38.623,77.851,1.91,33.74,2.183
395.5,4.719,46.917,37.389,5.035,1.081,0.791,39.393,39.332,110.802,1.963,33.74,2.141
396,4.719,44.108,35.19,4.824,1.012,0.723,38.809,40.37,110.802,2.166,32.08,2.14
396.5,4.703,43.818,34.794,4.872,1.024,0.69,38.476,41.464,106.869,2.604,31.787,2.172
397,4.699,58.935,47.032,7.386,1.35,0.735,38.947,41.145,117.277,2.99,29.932,2.228
397.5,4.695,63.24,49.892,7.73,1.514,0.805,38.058,39.332,84.399,3.305,29.688,2.296
398,4.703,67.051,52.289,8.038,1.674,0.86,35.288,37.149,54.568,3.117,31.494,2.358
398.5,4.75,65.838,51.4,8.029,1.638,0.814,31.908,33.229,56.093,2.814,31.445,2.34
399,4.871,61.929,48.476,7.832,1.526,0.703,28.064,28.01,43.523,2.674,31.689,2.315
399.5,4.957,83.821,64.798,10.44,2.158,0.947,24.756,23.565,33.021,2.359,29.395,2.289
400,5.012,107.114,81.269,11.84,2.932,1.497,22.284,20.413,15.192,2.299,31.348,2.277
400.5,5.086,109.115,82.649,11.976,3.002,1.539,19.678,18.312,16.436,2.283,33.057,2.257
401,5.133,111.352,84.087,12.161,3.093,1.571,17.75,16.422,19.154,2.514,34.131,2.254
401.5,5.18,109.274,82.34,11.933,3.055,1.533,16.557,14.927,16.897,2.547,36.67,2.265
402,5.324,117.397,87.389,12.438,3.404,1.683,15.636,14.48,15.465,2.555,37.305,2.259
402.5,5.355,132.053,89.975,12.662,4.773,1.768,15.25,14.097,14.673,2.422,39.063,2.248
403,5.355,135.359,91.819,12.835,4.939,1.826,15.606,14.078,14.462,2.457,39.014,2.254
403.5,5.328,127.32,85.726,11.952,4.718,1.712,16.17,14.927,13.736,2.406,40.186,2.253
404,5.258,128.611,86.589,11.999,4.766,1.748,17.247,16.55,14.567,2.445,38.818,2.243
404.5,5.125,112.159,78.768,10.359,3.787,1.727,18.575,18.631,22.951,2.434,37.988,2.25
405,5.02,109.229,76.922,10.051,3.665,1.703,20.062,20.413,24.343,2.332,35.205,2.248
405.5,4.898,90.833,72.412,9.203,2.09,1.667,21.584,23.462,29.039,2.396,36.572,2.225
406,4.863,88.721,70.927,9.059,2.018,1.622,22.399,26.033,40.865,2.715,33.691,2.232
406.5,4.953,79.776,64.234,8.665,1.763,1.355,22.465,25.057,110.802,2.812,32.129,2.252
407,5.035,81.187,64.969,8.762,1.84,1.371,22.542,21.655,84.399,2.709,29.834,2.282
407.5,5.082,100.666,78.73,9.826,2.488,1.857,22.214,20.143,29.322,2.488,31.641,2.266
408,5.211,110.026,85.531,10.806,2.779,1.985,21.694,19.661,12.457,2.504,32.031,2.228
408.5,5.238,108.837,84.81,10.792,2.725,1.949,20.453,18.895,17.335,2.488,32.813,2.219
409,5.223,108.757,84.641,10.91,2.735,1.911,18.731,18.033,21.554,2.342,33.35,2.225
409.5,5.184,116.746,90.296,11.964,3,1.958,17.439,17.08,18.394,2.385,36.182,2.219
410,5.195,108.972,84.283,11.67,2.8,1.703,16.935,16.837,20.25,2.43,36.816,2.222
410.5,5.238,108.346,83.625,11.681,2.804,1.665,16.704,16.198,20.738,2.562,36.133,2.24
411,5.227,117.281,89.556,12.339,3.145,1.825,17.069,15.628,21.788,2.596,34.424,2.256
411.5,5.223,119.71,90.793,12.48,3.28,1.858,17.976,15.979,16.084,2.631,35.059,2.254
412,5.172,123.465,93.288,12.779,3.423,1.919,18.882,17.763,12.614,2.678,37.061,2.259
412.5,5.16,107.35,80.798,11.663,3.012,1.515,19.188,20.258,16.214,2.635,37.988,2.265
413,5.105,92.989,68.098,10.185,2.823,1.19,18.887,21.099,45.155,2.541,36.816,2.254
413.5,5.094,74.98,52.893,7.795,2.505,0.953,18.97,19.697,68.938,2.387,33.35,2.237
414,5.168,78.596,55.677,8.046,2.6,1.042,19.402,19.132,39.785,2.328,35.449,2.21
414.5,5.203,96.646,73.691,9.904,2.604,1.563,20.153,19.625,15.625,2.34,36.816,2.198
415,5.18,98.206,75.191,10.11,2.611,1.594,20.74,19.918,26.485,2.393,39.258,2.199
415.5,5.047,102.461,78.603,10.652,2.706,1.646,21.23,18.996,23.039,2.312,36.523,2.208
416,4.879,101.66,78.302,10.72,2.649,1.613,21.23,19.625,20.738,2.334,37.061,2.217
416.5,4.887,102.303,78.998,10.757,2.643,1.641,21.015,21.699,15.831,2.441,36.133,2.213
417,4.996,95.455,74.36,10.224,2.393,1.521,19.893,23.308,28.625,2.949,35.449,2.242
417.5,5.16,69.445,64.713,7.532,0.537,1.661,18.509,21.016,79.918,3.031,32.568,2.293
418,5.254,66.393,63.213,7.244,0.361,1.65,17.673,17.912,63.822,2.945,31.592,2.301
418.5,5.258,89.427,84.855,10.667,0.519,1.982,17.546,16.272,28.091,2.611,32.91,2.256
419,5.262,132.117,98.053,11.822,3.864,2.415,17.188,15.86,9.432,2.533,34.473,2.23
419.5,5.27,134.891,100.011,11.975,3.956,2.484,16.999,15.269,12.229,2.541,37.158,2.252
420,5.324,126.001,93.445,11.36,3.693,2.278,16.268,14.948,14.567,2.672,37.402,2.265
420.5,5.316,124.95,92.671,11.305,3.661,2.25,15.359,15.379,12.829,2.674,38.037,2.27
421,5.297,120.778,89.82,11.059,3.511,2.156,14.66,15.514,20.954,2.725,35.742,2.276
421.5,5.309,119.118,88.49,10.915,3.474,2.119,14.287,14.782,21.027,2.654,34.375,2.299
422,5.445,119.264,88.564,10.894,3.482,2.128,14.117,14.191,23.956,2.662,34.424,2.295
422.5,5.527,126.008,93.397,11.399,3.699,2.266,14.471,13.876,15.386,2.611,35.986,2.281
423,5.59,128.772,95.406,11.56,3.785,2.336,15.112,13.858,15.789,2.557,36.865,2.264
423.5,5.59,127.403,94.392,11.439,3.745,2.31,15.857,14.229,13.252,2.645,35.938,2.268
424,5.348,122.487,91.233,11.168,3.545,2.206,16.681,15.469,9.946,2.648,38.477,2.264
424.5,5.18,119.962,89.718,10.901,3.431,2.189,17.616,17.912,13.49,2.832,38.965,2.258
425,5.062,99.808,75.097,9.212,2.803,1.811,18.007,20.491,29.039,3.437,35.938,2.289
425.5,5.094,74.095,53.998,5.945,2.28,1.469,18.417,21.921,61.226,3.824,30.957,2.39
426,5.172,72.043,52.678,5.805,2.197,1.432,18.634,22.149,77.851,3.453,29.98,2.474
426.5,5.191,69.342,50.944,5.659,2.087,1.374,18.88,20.69,68.157,2.816,30.566,2.421
427,5.223,72.716,53.259,5.895,2.207,1.442,18.91,18.502,45.496,2.562,30.811,2.314
427.5,5.379,99.251,75.598,8.34,2.683,2.053,18.679,16.731,16.617,2.561,30.615,2.26
