DEPT,CALI,SGR,CGR,THOR,URAN,POTA,ILD,ILM,SFLU,PEF,NPHI,RHOB
121.5,5.461,63.854,36.014,5.815,3.158,0.523,21.731,18.631,21.478,2.1,39.551,2.075
122,5.445,74.269,38.372,6.031,4.072,0.598,22.384,18.697,17.691,2.201,38.037,2.073
122.5,5.461,78.929,41.256,6.318,4.273,0.684,23.331,20.811,9.301,2.262,36.23,2.079
123,5.469,86.441,45.412,6.554,4.654,0.852,24.581,25.057,25.158,2.178,36.914,2.074
123.5,5.465,90.365,47.758,6.743,4.833,0.933,26.517,28.307,70.556,2.205,36.768,2.069
124,5.41,123.083,43.246,6.299,9.056,0.797,29.131,31.196,129.935,2.135,34.814,2.077
124.5,5.406,99.426,33.766,4.801,7.448,0.651,34.411,34.515,89.41,1.964,32.226,2.099
125,5.41,52.872,23.568,2.799,3.324,0.591,41.679,39.919,69.735,1.792,32.08,2.106
125.5,5.406,50.554,21.92,2.621,3.248,0.545,47.069,44.019,83.233,1.778,33.301,2.1
126,5.406,57.879,27.851,3.415,3.406,0.672,49.961,46.705,105.007,1.848,32.617,2.097
126.5,5.41,56.044,26.937,3.282,3.302,0.655,51.371,47.323,110.803,1.812,31.445,2.102
127,5.41,44.557,24.831,2.138,2.237,0.823,50.83,47.533,96.582,1.778,30.029,2.089
127.5,5.418,42.884,24.09,2.086,2.132,0.795,50.656,47.959,90.759,1.731,29.15,2.075
128,5.41,41.859,23.633,2.026,2.067,0.785,51.168,48.174,86.833,1.712,29.346,2.07
128.5,5.41,44.78,26.048,2.168,2.125,0.882,51.358,48.833,85.598,1.766,30.566,2.086
129,5.41,46.236,27.242,2.294,2.154,0.915,51.005,49.282,93.581,1.867,32.08,2.104
129.5,5.41,56.583,39.906,5.16,1.892,0.897,50.3,48.392,99.785,1.88,33.936,2.105
130,5.406,56.856,40.525,5.316,1.852,0.892,48.591,46.704,105.006,1.873,32.812,2.1
130.5,5.414,53.135,38.426,5.189,1.668,0.809,47.165,42.96,106.869,1.822,31.543,2.094
131,5.41,48.596,35.743,4.93,1.458,0.727,46.064,39.623,71.387,1.859,29.297,2.09
